AAD_Csat,AAD_hfg,AAD_psat,N_Csat,N_hfg,N_psat,Tc_K,c0,c1,c2,formula,inchi,inchikey,name,pc_MPa
0.51533538,0.405664676,0.559174672,97,107,2109,562.0228984,0.181395259,0.824166031,2.062125558,C_{6}H_{6},InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N,benzene,4.896694867
1.217474503,2.227721898,3.06576401,46,53,1731,512.6794911,0.694911381,0.919907783,1.704126896,CH_{4}O,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,8.055753392
1.5030759,0.728769523,2.295201505,250,31,1729,514.5564778,0.815658846,0.918791107,1.616580509,C_{2}H_{6}O,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ethanol,6.226261945
0.289730322,1.034061923,1.226549705,423,47,1714,647.108143,0.532353875,0.878018035,1.491389211,H_{2}O,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,22.07189444
0.415288432,0.991614159,1.536043433,157,40,1451,507.5446386,0.623166886,0.831835883,1.134875407,C_{6}H_{14},"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",VLKZOEOYAKHREP-UHFFFAOYSA-N,hexane,3.02754604
0.567995562,0.6545131,0.656728466,12,54,1438,553.4458017,0.590623644,0.816456968,0.981442254,C_{6}H_{12},InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,XDTMQSROBMDMFD-UHFFFAOYSA-N,cyclohexane,4.075986307
0.221235899,0.675551903,1.537423096,567,22,1335,540.0783333,0.570752255,0.814692229,1.301566247,C_{7}H_{16},"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",IMNFDUFMRHMDMM-UHFFFAOYSA-N,heptane,2.734049369
3.626587992,2.091438538,10.94690846,133,24,1258,562.088194,1.345134252,0.999999785,0.937002566,C_{4}H_{10}O,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N,butan-1-ol,4.393726856
0.509978905,1.777070329,2.397196258,153,40,1246,591.890001,0.584919202,0.819980587,1.093842237,C_{7}H_{8},"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",YXFVVABEGXRONW-UHFFFAOYSA-N,toluene,4.131066455
3.093716178,1.632850666,8.771196344,276,31,1224,536.7673694,1.088534214,0.955650171,1.202455749,C_{3}H_{8}O,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,5.137701486
7.136986825,3.148135039,19.53032512,92,12,885,535.95,1.330738029,0.999999972,0.969747361,C_{4}H_{10}O,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,4.218306403
1.017898799,1.979496153,2.011533946,71,21,835,508.0652929,0.759116368,0.863988054,0.989272845,C_{3}H_{6}O,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,CSCPPACGZOOCGX-UHFFFAOYSA-N,acetone,4.704446785
3.406185769,1.545459251,6.907928199,116,20,825,508.2681249,1.135612592,0.967856561,1.194964627,C_{3}H_{8}O,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",KFZMGEQAYNKOFK-UHFFFAOYSA-N,propan-2-ol,4.749120709
1.099038238,0.938705014,1.229138375,51,51,756,568.7879087,0.351757574,0.824878278,2.054953501,C_{8}H_{18},"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",TVMXDCGIABBOFY-UHFFFAOYSA-N,octane,2.486767247
,1.387069852,2.418916502,0,19,698,548.4425725,2.183349745,0.998440142,0.505434069,C_{4}H_{10}O,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,2-methyl-1-propanol,4.310472891
0.445386496,1.081642354,2.2838662,70,37,691,618.0477629,0.537340808,0.798957907,1.641583713,C_{10}H_{22},"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",DIOQZVSQGTUSAI-UHFFFAOYSA-N,decane,2.113884599
0.500676547,0.597469878,1.580161612,72,42,645,469.7537422,0.795756157,0.87937146,0.863656793,C_{5}H_{12},"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",OFBQJSOFQDEBGM-UHFFFAOYSA-N,pentane,3.368358905
0.743596766,0.691292867,0.758211457,133,9,644,425.1567141,0.465153323,0.847493295,1.201037616,C_{4}H_{10},"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",IJDNQMDRQITEOD-UHFFFAOYSA-N,butane,3.793718964
1.639493634,1.525789736,5.161627322,269,10,606,369.9007231,0.813733572,0.929511022,0.683735841,C_{3}H_{8},"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",ATUOYWHBWRKTHZ-UHFFFAOYSA-N,propane,4.25545806
0.634649839,1.09692553,0.463144262,28,18,605,523.26,1.197214658,0.999998969,0.72940286,C_{4}H_{8}O_{2},"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",XEKOWRVHYACXOJ-UHFFFAOYSA-N,ethyl ethanoate,3.879492756
,1.483392196,2.961651453,0,15,594,579.4478428,2.272590012,0.998136167,0.479447315,C_{5}H_{12}O,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",PHTQWCKDNZKARW-UHFFFAOYSA-N,3-methylbutan-1-ol,3.936258033
0.780676113,0.110389962,1.855096796,53,1,536,748.3319396,0.621951507,0.815764905,1.120808594,C_{10}H_{8},InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,UFWIBTONFRDIAS-UHFFFAOYSA-N,naphthalene,4.053761095
