p/MPa,T/K,x_He,x_Ar,y_He,y_Ar,author,reference_ID,region,point_ID,weight
117.23303,139.404,0.2629,0.7371,0.8775,0.1225,Streett,38,DEWP-X,58,1e+2
131.21588,139.404,0.2629,0.7371,0.8875,0.1125,Streett,38,DEWP-X,59,1e+2
144.79343,139.404,0.2611,0.7389,0.8961,0.1039,Streett,38,DEWP-X,60,1e+1
172.35383,139.404,0.2581,0.7419,0.9091,0.0909,Streett,38,DEWP-X,61,1e+2
310.25715,146.9142,0.2942,0.7058,0.9208,0.0792,Streett,38,DEWP-X,97,1e+2
68.901,147.8141,0.4232,0.5768,0.6315,0.3685,Streett,38,DEWP-X,112,1e+2
82.782525,147.8141,0.409,0.591,0.6928,0.3072,Streett,38,DEWP-X,113,1e+1
82.782525,147.8141,0.409,0.591,0.6928,0.3072,Streett,38,DEWP-X,113,1e+1
26.243175,148.0441,0.311,0.689,0.3892,0.6108,Streett,38,DEWP-X,119,1e+1
79.337475,148.314,0.4795,0.5205,0.5796,0.4204,Streett,38,DEWP-X,135,1e+1
413.70998,159.9132,0.3761,0.6239,0.9014,0.0986,Streett,38,DEWP-X,202,1e+2
250.27275,159.9132,0.5978,0.4022,0.6967,0.3033,Streett,38,DEWP-X,190,1e+2
462.54863,170.0127,0.502,0.498,0.847,0.153,Streett,39,DEWP-X,18,1e+2
681.7146,170.0127,0.368,0.632,0.93,0.07,Streett,39,DEWP-X,24,1e+2
800.97413,180.0122,0.424,0.576,0.91,0.09,Streett,39,DEWP-X,35,1e+2
926.41448,190.0118,0.5033,0.4967,0.8821,0.1179,Streett,39,DEWP-X,44,1e+2
896.72625,193.0116,0.5712,0.4288,0.8461,0.1539,Streett,39,DEWP-X,50,1e+2
993.99825,195.0115,0.55,0.45,0.872,0.128,Streett,39,DEWP-X,62,1e+2
1020.4441,197.0114,0.56,0.44,0.862,0.138,Streett,39,DEWP-X,71,1e+3
1015.9858,199.0112,0.5941,0.4059,0.8335,0.1665,Streett,39,DEWP-X,79,1e+3
1048.1058,199.0112,0.56,0.44,0.86,0.14,Streett,39,DEWP-X,81,1e+2
0.506625,85.0154,0.0003,0.9997,0.8393,0.1607,Mullins,33,TP,1,1e+0
1.01325,85.0154,0.00066,0.99934,0.9168,0.0832,Mullins,33,TP,2,1e+0
1.519875,85.0154,0.00101,0.99899,0.9427,0.0573,Mullins,33,TP,3,1e+0
2.0265,85.0154,0.00136,0.99864,0.9557,0.0443,Mullins,33,TP,4,1e+0
2.533125,85.0154,0.0017,0.9983,0.9635,0.0365,Mullins,33,TP,5,1e+0
3.03975,85.0154,0.00204,0.99796,0.9688,0.0312,Mullins,33,TP,6,1e+0
3.546375,85.0154,0.00237,0.99763,0.9726,0.0274,Mullins,33,TP,7,1e+0
4.053,85.0154,0.0027,0.9973,0.9754,0.0246,Mullins,33,TP,8,1e+0
4.559625,85.0154,0.00302,0.99698,0.9776,0.0224,Mullins,33,TP,9,1e+0
5.06625,85.0154,0.00334,0.99666,0.9794,0.0206,Mullins,33,TP,10,1e+0
5.572875,85.0154,0.00366,0.99634,0.98085,0.01915,Mullins,33,TP,11,1e+0
0.506625,90.016,0.00035,0.99965,0.727,0.273,Mullins,33,TP,12,1e+0
1.01325,90.016,0.00082,0.99918,0.859,0.141,Mullins,33,TP,13,1e+0
1.519875,90.016,0.00129,0.99871,0.9027,0.0973,Mullins,33,TP,14,1e+0
2.0265,90.016,0.00175,0.99825,0.9248,0.0752,Mullins,33,TP,15,1e+0
2.533125,90.016,0.0022,0.9978,0.9381,0.0619,Mullins,33,TP,16,1e+0
3.03975,90.016,0.00264,0.99736,0.947,0.053,Mullins,33,TP,17,1e+0
3.546375,90.016,0.00308,0.99692,0.9535,0.0465,Mullins,33,TP,18,1e+0
4.053,90.016,0.00352,0.99648,0.9583,0.0417,Mullins,33,TP,19,1e+0
4.559625,90.016,0.00395,0.99605,0.9621,0.0379,Mullins,33,TP,20,1e+0
5.06625,90.016,0.00437,0.99563,0.9652,0.0348,Mullins,33,TP,21,1e+0
5.572875,90.016,0.00479,0.99521,0.9677,0.0323,Mullins,33,TP,22,1e+0
6.0795,90.016,0.0052,0.9948,0.9698,0.0302,Mullins,33,TP,23,1e+0
6.586125,90.016,0.0056,0.9944,0.9716,0.0284,Mullins,33,TP,24,1e+0
7.09275,90.016,0.006,0.994,0.9731,0.0269,Mullins,33,TP,25,1e+0
7.599375,90.016,0.0064,0.9936,0.9744,0.0256,Mullins,33,TP,26,1e+0
8.106,90.016,0.00679,0.99321,0.9755,0.0245,Mullins,33,TP,27,1e+0
8.612625,90.016,0.00717,0.99283,0.9765,0.0235,Mullins,33,TP,28,1e+0
9.11925,90.016,0.00755,0.99245,0.9774,0.0226,Mullins,33,TP,29,1e+0
9.625875,90.016,0.00793,0.99207,0.9782,0.0218,Mullins,33,TP,30,1e+0
10.1325,90.016,0.0083,0.9917,0.9788,0.0212,Mullins,33,TP,31,1e+0
10.639125,90.016,0.00866,0.99134,0.9795,0.0205,Mullins,33,TP,32,1e+0
11.14575,90.016,0.00902,0.99098,0.98,0.02,Mullins,33,TP,33,1e+0
11.652375,90.016,0.00938,0.99062,0.9805,0.0195,Mullins,33,TP,34,1e+0
12.159,90.016,0.00973,0.99027,0.981,0.019,Mullins,33,TP,35,1e+0
0.506625,95.021,0.00036,0.99964,0.567,0.433,Mullins,33,TP,36,1e+0
1.01325,95.021,0.00097,0.99903,0.775,0.225,Mullins,33,TP,37,1e+0
1.519875,95.021,0.00158,0.99842,0.845,0.155,Mullins,33,TP,38,1e+0
2.0265,95.021,0.00218,0.99782,0.8801,0.1199,Mullins,33,TP,39,1e+0
2.533125,95.021,0.00276,0.99724,0.9014,0.0986,Mullins,33,TP,40,1e+0
3.03975,95.021,0.00334,0.99666,0.9156,0.0844,Mullins,33,TP,41,1e+0
3.546375,95.021,0.00392,0.99608,0.9259,0.0741,Mullins,33,TP,42,1e+0
4.053,95.021,0.00448,0.99552,0.9337,0.0663,Mullins,33,TP,43,1e+0
4.559625,95.021,0.00504,0.99496,0.9398,0.0602,Mullins,33,TP,44,1e+0
5.06625,95.021,0.00558,0.99442,0.9447,0.0553,Mullins,33,TP,45,1e+0
5.572875,95.021,0.00612,0.99388,0.9488,0.0512,Mullins,33,TP,46,1e+0
6.0795,95.021,0.00666,0.99334,0.9521,0.0479,Mullins,33,TP,47,1e+0
6.586125,95.021,0.00718,0.99282,0.955,0.045,Mullins,33,TP,48,1e+0
7.09275,95.021,0.0077,0.9923,0.9575,0.0425,Mullins,33,TP,49,1e+0
7.599375,95.021,0.00821,0.99179,0.9596,0.0404,Mullins,33,TP,50,1e+0
8.106,95.021,0.00872,0.99128,0.9614,0.0386,Mullins,33,TP,51,1e+0
8.612625,95.021,0.00921,0.99079,0.963,0.037,Mullins,33,TP,52,1e+0
9.11925,95.021,0.0097,0.9903,0.9645,0.0355,Mullins,33,TP,53,1e+0
9.625875,95.021,0.01019,0.98981,0.9657,0.0343,Mullins,33,TP,54,1e+0
10.1325,95.021,0.01066,0.98934,0.9669,0.0331,Mullins,33,TP,55,1e+0
10.639125,95.021,0.01114,0.98886,0.9679,0.0321,Mullins,33,TP,56,1e+0
11.14575,95.021,0.0116,0.9884,0.9688,0.0312,Mullins,33,TP,57,1e+0
11.652375,95.021,0.01206,0.98794,0.9696,0.0304,Mullins,33,TP,58,1e+0
12.159,95.021,0.01251,0.98749,0.9703,0.0297,Mullins,33,TP,59,1e+0
0.506625,100.0198,0.00028,0.99972,0.348,0.652,Mullins,33,TP,60,1e+0
1.01325,100.0198,0.00107,0.99893,0.661,0.339,Mullins,33,TP,61,1e+0
1.519875,100.0198,0.00185,0.99815,0.766,0.234,Mullins,33,TP,62,1e+0
2.0265,100.0198,0.00261,0.99739,0.8186,0.1814,Mullins,33,TP,63,1e+0
2.533125,100.0198,0.00337,0.99663,0.8506,0.1494,Mullins,33,TP,64,1e+0
3.03975,100.0198,0.00411,0.99589,0.8722,0.1278,Mullins,33,TP,65,1e+0
3.546375,100.0198,0.00484,0.99516,0.8878,0.1122,Mullins,33,TP,66,1e+0
4.053,100.0198,0.00556,0.99444,0.8996,0.1004,Mullins,33,TP,67,1e+0
4.559625,100.0198,0.00627,0.99373,0.9088,0.0912,Mullins,33,TP,68,1e+0
5.06625,100.0198,0.00698,0.99302,0.9163,0.0837,Mullins,33,TP,69,1e+0
5.572875,100.0198,0.00767,0.99233,0.9225,0.0775,Mullins,33,TP,70,1e+0
6.0795,100.0198,0.00835,0.99165,0.9277,0.0723,Mullins,33,TP,71,1e+0
6.586125,100.0198,0.00902,0.99098,0.9321,0.0679,Mullins,33,TP,72,1e+0
7.09275,100.0198,0.00968,0.99032,0.9359,0.0641,Mullins,33,TP,73,1e+0
7.599375,100.0198,0.01033,0.98967,0.9395,0.0605,Mullins,33,TP,74,1e+0
8.106,100.0198,0.01097,0.98903,0.9421,0.0579,Mullins,33,TP,75,1e+0
8.612625,100.0198,0.01161,0.98839,0.9446,0.0554,Mullins,33,TP,76,1e+0
9.11925,100.0198,0.01223,0.98777,0.9468,0.0532,Mullins,33,TP,77,1e+0
9.625875,100.0198,0.01285,0.98715,0.9488,0.0512,Mullins,33,TP,78,1e+0
10.1325,100.0198,0.01345,0.98655,0.9505,0.0495,Mullins,33,TP,79,1e+0
10.639125,100.0198,0.01405,0.98595,0.9521,0.0479,Mullins,33,TP,80,1e+0
11.14575,100.0198,0.01464,0.98536,0.9535,0.0465,Mullins,33,TP,81,1e+0
11.652375,100.0198,0.01523,0.98477,0.9547,0.0453,Mullins,33,TP,82,1e+0
12.159,100.0198,0.0158,0.9842,0.9559,0.0441,Mullins,33,TP,83,1e+0
0.506625,105.0155,0.00006,0.99994,0.061,0.939,Mullins,33,TP,84,1e+0
1.01325,105.0155,0.00106,0.99894,0.51,0.49,Mullins,33,TP,85,1e+0
1.519875,105.0155,0.00204,0.99796,0.661,0.339,Mullins,33,TP,86,1e+0
2.0265,105.0155,0.00301,0.99699,0.737,0.263,Mullins,33,TP,87,1e+0
2.533125,105.0155,0.00396,0.99604,0.783,0.217,Mullins,33,TP,88,1e+0
3.03975,105.0155,0.0049,0.9951,0.8145,0.1855,Mullins,33,TP,89,1e+0
3.546375,105.0155,0.00582,0.99418,0.837,0.163,Mullins,33,TP,90,1e+0
4.053,105.0155,0.00673,0.99327,0.8542,0.1458,Mullins,33,TP,91,1e+0
4.559625,105.0155,0.00763,0.99237,0.8677,0.1323,Mullins,33,TP,92,1e+0
5.06625,105.0155,0.00851,0.99149,0.8786,0.1214,Mullins,33,TP,93,1e+0
5.572875,105.0155,0.00938,0.99062,0.8877,0.1123,Mullins,33,TP,94,1e+0
6.0795,105.0155,0.01024,0.98976,0.8953,0.1047,Mullins,33,TP,95,1e+0
6.586125,105.0155,0.01109,0.98891,0.9018,0.0982,Mullins,33,TP,96,1e+0
7.09275,105.0155,0.01192,0.98808,0.9074,0.0926,Mullins,33,TP,97,1e+0
7.599375,105.0155,0.01274,0.98726,0.9122,0.0878,Mullins,33,TP,98,1e+0
8.106,105.0155,0.01355,0.98645,0.9165,0.0835,Mullins,33,TP,99,1e+0
8.612625,105.0155,0.01434,0.98566,0.9202,0.0798,Mullins,33,TP,100,1e+0
9.11925,105.0155,0.01513,0.98487,0.9235,0.0765,Mullins,33,TP,101,1e+0
9.625875,105.0155,0.0159,0.9841,0.9265,0.0735,Mullins,33,TP,102,1e+0
10.1325,105.0155,0.01666,0.98334,0.9291,0.0709,Mullins,33,TP,103,1e+0
10.639125,105.0155,0.01742,0.98258,0.9311,0.0689,Mullins,33,TP,104,1e+0
11.14575,105.0155,0.01816,0.98184,0.9335,0.0665,Mullins,33,TP,105,1e+0
11.652375,105.0155,0.01889,0.98111,0.9354,0.0646,Mullins,33,TP,106,1e+0
12.159,105.0155,0.01961,0.98039,0.9371,0.0629,Mullins,33,TP,107,1e+0
1.01325,110.0102,0.00085,0.99915,0.321,0.679,Mullins,33,TP,108,1e+0
1.519875,110.0102,0.00207,0.99793,0.529,0.471,Mullins,33,TP,109,1e+0
2.0265,110.0102,0.00328,0.99672,0.634,0.366,Mullins,33,TP,110,1e+0
2.533125,110.0102,0.00447,0.99553,0.698,0.302,Mullins,33,TP,111,1e+0
3.03975,110.0102,0.00564,0.99436,0.741,0.259,Mullins,33,TP,112,1e+0
3.546375,110.0102,0.00679,0.99321,0.772,0.228,Mullins,33,TP,113,1e+0
4.053,110.0102,0.00792,0.99208,0.796,0.204,Mullins,33,TP,114,1e+0
4.559625,110.0102,0.00904,0.99096,0.8148,0.1852,Mullins,33,TP,115,1e+0
5.06625,110.0102,0.01014,0.98986,0.8301,0.1699,Mullins,33,TP,116,1e+0
5.572875,110.0102,0.01122,0.98878,0.8429,0.1571,Mullins,33,TP,117,1e+0
6.0795,110.0102,0.01229,0.98771,0.8536,0.1464,Mullins,33,TP,118,1e+0
6.586125,110.0102,0.01334,0.98666,0.8629,0.1371,Mullins,33,TP,119,1e+0
7.09275,110.0102,0.01498,0.98502,0.8708,0.1292,Mullins,33,TP,120,1e+0
7.599375,110.0102,0.01539,0.98461,0.8777,0.1223,Mullins,33,TP,121,1e+0
8.106,110.0102,0.0164,0.9836,0.8838,0.1162,Mullins,33,TP,122,1e+0
8.612625,110.0102,0.01739,0.98261,0.8892,0.1108,Mullins,33,TP,123,1e+0
9.11925,110.0102,0.01836,0.98164,0.894,0.106,Mullins,33,TP,124,1e+0
9.625875,110.0102,0.01932,0.98068,0.8982,0.1018,Mullins,33,TP,125,1e+0
10.1325,110.0102,0.0203,0.9797,0.902,0.098,Mullins,33,TP,126,1e+0
10.639125,110.0102,0.0212,0.9788,0.9054,0.0946,Mullins,33,TP,127,1e+0
11.14575,110.0102,0.0221,0.9779,0.9084,0.0916,Mullins,33,TP,128,1e+0
11.652375,110.0102,0.023,0.977,0.9112,0.0888,Mullins,33,TP,129,1e+0
12.159,110.0102,0.0239,0.9761,0.9136,0.0864,Mullins,33,TP,130,1e+0
1.01325,115.0054,0.00032,0.99968,0.082,0.918,Mullins,33,TP,131,1e+0
1.519875,115.0054,0.00191,0.99809,0.346,0.654,Mullins,33,TP,132,1e+0
2.0265,115.0054,0.00343,0.99657,0.488,0.512,Mullins,33,TP,133,1e+0
2.533125,115.0054,0.00489,0.99511,0.576,0.424,Mullins,33,TP,134,1e+0
3.03975,115.0054,0.00631,0.99369,0.637,0.363,Mullins,33,TP,135,1e+0
3.546375,115.0054,0.00768,0.99232,0.681,0.319,Mullins,33,TP,136,1e+0
4.053,115.0054,0.00901,0.99099,0.714,0.286,Mullins,33,TP,137,1e+0
4.559625,115.0054,0.01031,0.98969,0.74,0.26,Mullins,33,TP,138,1e+0
5.06625,115.0054,0.01157,0.98843,0.761,0.239,Mullins,33,TP,139,1e+0
5.572875,115.0054,0.01281,0.98719,0.778,0.222,Mullins,33,TP,140,1e+0
6.0795,115.0054,0.01402,0.98598,0.793,0.207,Mullins,33,TP,141,1e+0
6.586125,115.0054,0.01521,0.98479,0.8053,0.1947,Mullins,33,TP,142,1e+0
7.09275,115.0054,0.01639,0.98361,0.8158,0.1842,Mullins,33,TP,143,1e+0
1.519875,120.0019,0.00123,0.99877,0.16,0.84,Mullins,33,TP,144,1e+0
2.0265,120.0019,0.00319,0.99681,0.332,0.668,Mullins,33,TP,145,1e+0
2.533125,120.0019,0.00506,0.99494,0.443,0.557,Mullins,33,TP,146,1e+0
3.03975,120.0019,0.00685,0.99315,0.519,0.481,Mullins,33,TP,147,1e+0
3.546375,120.0019,0.00857,0.99143,0.576,0.424,Mullins,33,TP,148,1e+0
4.053,120.0019,0.01022,0.98978,0.619,0.381,Mullins,33,TP,149,1e+0
4.559625,120.0019,0.0118,0.9882,0.653,0.347,Mullins,33,TP,150,1e+0
5.06625,120.0019,0.01334,0.98666,0.68,0.32,Mullins,33,TP,151,1e+0
5.572875,120.0019,0.01484,0.98516,0.703,0.297,Mullins,33,TP,152,1e+0
6.0795,120.0019,0.01629,0.98371,0.722,0.278,Mullins,33,TP,153,1e+0
6.586125,120.0019,0.01771,0.98229,0.738,0.262,Mullins,33,TP,154,1e+0
7.09275,120.0019,0.01911,0.98089,0.752,0.248,Mullins,33,TP,155,1e+0
2.0265,125.0001,0.00226,0.99774,0.165,0.835,Mullins,33,TP,156,1e+0
2.533125,125.0001,0.0047,0.9953,0.293,0.707,Mullins,33,TP,157,1e+0
3.03975,125.0001,0.007,0.993,0.385,0.615,Mullins,33,TP,158,1e+0
3.546375,125.0001,0.00919,0.99081,0.453,0.547,Mullins,33,TP,159,1e+0
4.053,125.0001,0.01126,0.98874,0.506,0.494,Mullins,33,TP,160,1e+0
4.559625,125.0001,0.01324,0.98676,0.548,0.452,Mullins,33,TP,161,1e+0
5.06625,125.0001,0.01514,0.98486,0.582,0.418,Mullins,33,TP,162,1e+0
5.572875,125.0001,0.01697,0.98303,0.611,0.389,Mullins,33,TP,163,1e+0
6.0795,125.0001,0.01873,0.98127,0.635,0.365,Mullins,33,TP,164,1e+0
6.586125,125.0001,0.0204,0.9796,0.655,0.345,Mullins,33,TP,165,1e+0
7.09275,125.0001,0.0221,0.9779,0.673,0.327,Mullins,33,TP,166,1e+0
2.533125,130,0.00327,0.99673,0.138,0.862,Mullins,33,TP,167,1e+0
3.03975,130,0.00633,0.99367,0.24,0.76,Mullins,33,TP,168,1e+0
3.546375,130,0.00918,0.99082,0.318,0.682,Mullins,33,TP,169,1e+0
4.053,130,0.01187,0.98813,0.379,0.621,Mullins,33,TP,170,1e+0
4.559625,130,0.0144,0.9856,0.428,0.572,Mullins,33,TP,171,1e+0
5.06625,130,0.01679,0.98321,0.469,0.531,Mullins,33,TP,172,1e+0
5.572875,130,0.01906,0.98094,0.503,0.497,Mullins,33,TP,173,1e+0
6.0795,130,0.0212,0.9788,0.531,0.469,Mullins,33,TP,174,1e+0
6.586125,130,0.0233,0.9767,0.556,0.444,Mullins,33,TP,175,1e+0
7.09275,130,0.0253,0.9747,0.577,0.423,Mullins,33,TP,176,1e+0
3.03975,135.0018,0.00401,0.99599,0.098,0.902,Mullins,33,TP,177,1e+0
3.546375,135.0018,0.00788,0.99212,0.178,0.822,Mullins,33,TP,178,1e+0
4.053,135.0018,0.01147,0.98853,0.243,0.757,Mullins,33,TP,179,1e+0
4.559625,135.0018,0.0148,0.9852,0.296,0.704,Mullins,33,TP,180,1e+0
5.06625,135.0018,0.0179,0.9821,0.34,0.66,Mullins,33,TP,181,1e+0
5.572875,135.0018,0.0208,0.9792,0.377,0.623,Mullins,33,TP,182,1e+0
6.0795,135.0018,0.0236,0.9764,0.408,0.592,Mullins,33,TP,183,1e+0
6.586125,135.0018,0.0262,0.9738,0.435,0.565,Mullins,33,TP,184,1e+0
7.09275,135.0018,0.0286,0.9714,0.458,0.542,Mullins,33,TP,185,1e+0
3.546375,140.005,0.00397,0.99603,0.05,0.95,Mullins,33,TP,186,1e+0
4.053,140.005,0.00896,0.99104,0.108,0.892,Mullins,33,TP,187,1e+0
22.08885,98.0289,0.0229,0.9771,0.974,0.026,Streett,38,TP,1,1e+0
27.5604,98.0289,0.0261,0.9739,0.9747,0.0253,Streett,38,TP,2,1e+0
42.049875,98.0289,0.0347,0.9653,0.9802,0.0198,Streett,38,TP,3,1e+0
48.2307,98.0289,0.0376,0.9624,0.9816,0.0184,Streett,38,TP,4,1e+0
62.720175,98.0289,0.043,0.957,0.9817,0.0183,Streett,38,TP,5,1e+0
69.610275,98.0289,0.0448,0.9552,0.9823,0.0177,Streett,38,TP,6,1e+0
71.7381,98.0289,0.0452,0.9548,0.9834,0.0166,Streett,38,TP,7,1e+0
48.939975,108.1809,0.0602,0.9398,0.9622,0.0378,Streett,38,TP,8,1e+0
62.0109,108.1809,0.0669,0.9331,0.967,0.033,Streett,38,TP,9,1e+0
75.7911,108.1809,0.0721,0.9279,0.9713,0.0287,Streett,38,TP,10,1e+0
