p/MPa,T/K,x_He,x_Ar,y_He,y_Ar,author,reference_ID,region,point_ID,weight
5.06625,85.0154,0.00334,0.99666,0.9794,0.0206,Mullins,33,BUBT-P,10,1e+1
3.92266,115.0954,0.012,0.988,0.585,0.415,Skripka,36,BUBT-P,48,1e+1
75.7911,139.404,0.2479,0.7521,0.8353,0.1647,Streett,38,BUBT-P,55,1e+1
172.35383,139.404,0.2581,0.7419,0.9091,0.0909,Streett,38,BUBT-P,61,1e+2
144.79343,139.404,0.2611,0.7389,0.8961,0.1039,Streett,38,BUBT-P,60,1e+3
199.91423,139.404,0.2529,0.7471,0.9195,0.0805,Streett,38,BUBT-P,62,1e+3
358.18388,139.404,0.2226,0.7774,0.9556,0.0444,Streett,38,BUBT-P,74,1e+3
20.437253,144.4091,0.157,0.843,0.5551,0.4449,Streett,37,BUBT-P,38,1e+2
421.9173,145.0144,0.248,0.752,0.9383,0.0617,Streett,38,BUBT-P,80,1e+3
34.4505,147.3141,0.3105,0.6895,0.5349,0.4651,Streett,38,BUBT-P,98,1e+1
48.2307,147.3141,0.3839,0.6161,0.5808,0.4192,Streett,38,BUBT-P,100,1e+1
68.901,147.8141,0.4232,0.5768,0.6315,0.3685,Streett,38,BUBT-P,112,1e+2
22.798125,148.0441,0.24,0.76,0.4183,0.5817,Streett,38,BUBT-P,118,1e+3
26.243175,148.0441,0.311,0.689,0.3892,0.6108,Streett,38,BUBT-P,119,1e+3
244.09193,158.1033,0.4964,0.5036,0.7789,0.2211,Streett,38,BUBT-P,186,1e+2
441.87833,170.0127,0.5301,0.4699,0.8262,0.1738,Streett,39,BUBT-P,17,1e+2
462.54863,170.0127,0.502,0.498,0.847,0.153,Streett,39,BUBT-P,18,1e+0
545.22983,170.0127,0.4324,0.5676,0.8927,0.1073,Streett,39,BUBT-P,20,1e+0
593.46053,170.0127,0.4051,0.5949,0.9079,0.0921,Streett,39,BUBT-P,21,1e+0
629.32958,180.0122,0.5419,0.4581,0.8419,0.1581,Streett,39,BUBT-P,30,1e+1
800.97413,180.0122,0.424,0.576,0.91,0.09,Streett,39,BUBT-P,35,1e+2
807.86423,190.0118,0.6042,0.3958,0.821,0.179,Streett,39,BUBT-P,39,1e+3
814.34903,190.0118,0.5949,0.4051,0.828,0.172,Streett,39,BUBT-P,40,1e+2
867.84863,190.0118,0.5265,0.4735,0.8605,0.1395,Streett,39,BUBT-P,42,1e+1
876.76523,193.0116,0.5927,0.4073,0.831,0.169,Streett,39,BUBT-P,49,1e+0
924.99593,193.0116,0.5432,0.4568,0.8627,0.1373,Streett,39,BUBT-P,51,1e+1
3.92266,115.0954,0.012,0.988,0.585,0.415,Skripka,36,DEWT-P,48,1e+1
48.2307,147.3141,0.3839,0.6161,0.5808,0.4192,Streett,38,DEWT-P,100,1e+1
144.79343,139.404,0.2611,0.7389,0.8961,0.1039,Streett,38,DEWT-P,60,1e+2
199.91423,139.404,0.2529,0.7471,0.9195,0.0805,Streett,38,DEWT-P,62,1e+2
20.437253,144.4091,0.157,0.843,0.5551,0.4449,Streett,37,DEWT-P,38,1e+2
9.625875,148.0441,0.0854,0.9146,0.2787,0.7213,Streett,38,DEWT-P,115,1e+3
14.084175,148.0441,0.144,0.856,0.3556,0.6444,Streett,38,DEWT-P,116,1e+3
26.243175,148.0441,0.311,0.689,0.3892,0.6108,Streett,38,DEWT-P,119,1e+3
867.84863,190.0118,0.5265,0.4735,0.8605,0.1395,Streett,39,DEWT-P,42,1e+1
82.782525,147.8141,0.409,0.591,0.6928,0.3072,Streett,38,BUBP-T,113,1e+1
26.243175,148.0441,0.311,0.689,0.3892,0.6108,Streett,38,BUBP-T,119,1e+3
82.782525,147.8141,0.409,0.591,0.6928,0.3072,Streett,38,DEWP-T,113,1e+1
26.243175,148.0441,0.311,0.689,0.3892,0.6108,Streett,38,DEWP-T,119,1e+3
82.782525,147.8141,0.409,0.591,0.6928,0.3072,Streett,38,BUBT-Y,113,1e+1
26.243175,148.0441,0.311,0.689,0.3892,0.6108,Streett,38,BUBT-Y,119,1e+3
126.14963,108.1809,0.0841,0.9159,0.9774,0.0226,Streett,38,BUBP-Y,19,1e+2
10.639125,110.0102,0.0212,0.9788,0.9054,0.0946,Mullins,33,BUBP-Y,127,1e+0
172.35383,120.0229,0.1316,0.8684,0.9678,0.0322,Streett,38,BUBP-Y,30,1e+2
207.5136,120.0229,0.1313,0.8687,0.9705,0.0295,Streett,38,BUBP-Y,34,1e+2
241.35615,129.7537,0.1769,0.8231,0.9595,0.0405,Streett,38,BUBP-Y,47,1e+1
48.2307,139.404,0.2127,0.7873,0.7894,0.2106,Streett,38,BUBP-Y,53,1e+2
75.7911,139.404,0.2479,0.7521,0.8353,0.1647,Streett,38,BUBP-Y,55,1e+2
144.79343,139.404,0.2611,0.7389,0.8961,0.1039,Streett,38,BUBP-Y,60,1e+1
172.35383,139.404,0.2581,0.7419,0.9091,0.0909,Streett,38,BUBP-Y,61,1e+3
31.41075,147.8141,0.305,0.695,0.4721,0.5279,Streett,38,BUBP-Y,105,1e+2
34.4505,147.3141,0.3105,0.6895,0.5349,0.4651,Streett,38,BUBP-Y,98,1e+2
68.901,147.8141,0.4232,0.5768,0.6315,0.3685,Streett,38,BUBP-Y,112,1e+2
82.782525,147.8141,0.409,0.591,0.6928,0.3072,Streett,38,BUBP-Y,113,1e+1
75.7911,139.404,0.2479,0.7521,0.8353,0.1647,Streett,38,BUBP-Y,55,1e+1
103.45283,139.404,0.2605,0.7395,0.8659,0.1341,Streett,38,BUBP-Y,57,1e+1
131.21588,139.404,0.2629,0.7371,0.8875,0.1125,Streett,38,BUBP-Y,59,1e+1
144.79343,139.404,0.2611,0.7389,0.8961,0.1039,Streett,38,BUBP-Y,60,1e+1
358.18388,139.404,0.2226,0.7774,0.9556,0.0444,Streett,38,BUBP-Y,74,1e+1
68.901,147.8141,0.4232,0.5768,0.6315,0.3685,Streett,38,BUBP-Y,112,1e+0
82.782525,147.8141,0.409,0.591,0.6928,0.3072,Streett,38,BUBP-Y,113,1e+1
26.243175,148.0441,0.311,0.689,0.3892,0.6108,Streett,38,BUBP-Y,119,1e+1
79.337475,148.314,0.4795,0.5205,0.5796,0.4204,Streett,38,BUBP-Y,135,1e+1
250.27275,159.9132,0.5978,0.4022,0.6967,0.3033,Streett,38,BUBP-Y,190,1e+2
629.32958,180.0122,0.5419,0.4581,0.8419,0.1581,Streett,39,BUBP-Y,30,1e+2
462.54863,170.0127,0.502,0.498,0.847,0.153,Streett,39,BUBP-Y,18,1e+2
681.7146,170.0127,0.368,0.632,0.93,0.07,Streett,39,BUBP-Y,24,1e+2
800.97413,180.0122,0.424,0.576,0.91,0.09,Streett,39,BUBP-Y,35,1e+3
807.86423,190.0118,0.6042,0.3958,0.821,0.179,Streett,39,BUBP-Y,39,1e+2
867.84863,190.0118,0.5265,0.4735,0.8605,0.1395,Streett,39,BUBP-Y,42,1e+2
1020.4441,197.0114,0.56,0.44,0.862,0.138,Streett,39,BUBP-Y,71,1e+3
1040.8104,199.0112,0.5681,0.4319,0.8512,0.1488,Streett,39,BUBP-Y,80,1e+3
1048.1058,199.0112,0.56,0.44,0.86,0.14,Streett,39,BUBP-Y,81,1e+3
3.92266,115.0954,0.012,0.988,0.585,0.415,Skripka,36,DEWP-X,48,1e+1
126.14963,108.1809,0.0841,0.9159,0.9774,0.0226,Streett,38,DEWP-X,19,1e+2
172.35383,120.0229,0.1316,0.8684,0.9678,0.0322,Streett,38,DEWP-X,30,1e+3
207.5136,120.0229,0.1313,0.8687,0.9705,0.0295,Streett,38,DEWP-X,34,1e+1
241.35615,129.7537,0.1769,0.8231,0.9595,0.0405,Streett,38,DEWP-X,47,1e+2
103.45283,139.404,0.2605,0.7395,0.8659,0.1341,Streett,38,DEWP-X,57,1e+1
