p (Pa);rho (mol/m3);T (K);z (molar);type;BibTeX;weight;x (molar);y (molar);rho' (mol/m3);rho'' (mol/m3);rho' (guess,mol/m3);rho'' (guess,mol/m3);error_TillnerRoth [%];rho (kg/m3)
14182000.0;15296.886738290592;436.56;[0.9098, 0.09019999999999995];PTcrit;Sakabe-JCT-2008;1.0;;;;;;;;
17307000.0;16548.518384923213;478.58;[0.7757, 0.22430000000000005];PTcrit;Sakabe-JCT-2008;1.0;;;;;;;;
18693000.0;16935.38876179634;503.06;[0.6808, 0.31920000000000004];PTcrit;Sakabe-JCT-2008;1.0;;;;;;;;
21520000.0;17594.971236970683;613.5;[0.189, 0.8109999999999999];PTcrit;Sassen-JCED-1990;1.0;;;;;;;;
20830000.0;17323.913612448752;580.1;[0.346, 0.654];PTcrit;Sassen-JCED-1990;1.0;;;;;;;;
20130000.0;17186.676782209328;551.1;[0.491, 0.509];PTcrit;Sassen-JCED-1990;1.0;;;;;;;;
19490000.0;17070.82526294304;527.3;[0.613, 0.387];PTcrit;Sassen-JCED-1990;1.0;;;;;;;;
18130000.0;16882.616977816655;498.1;[0.699, 0.30100000000000005];PTcrit;Sassen-JCED-1990;1.0;;;;;;;;
16570000.0;16395.1193328;470.0;[0.8, 0.19999999999999996];PTcrit;Sassen-JCED-1990;1.0;;;;;;;;
7147900.0;;533.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.10517411097585248, 0.8948258890241475];[0.3336587723039604, 0.6663412276960397];40196.0;2144.3;;;;
9790500.0;;533.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.20914583996711858, 0.7908541600328814];[0.5000194640277622, 0.4999805359722378];36880.0;3186.5;;;;
12800999.999999998;;533.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.3119356887697274, 0.6880643112302727];[0.5959652781537323, 0.40403472184626765];33227.0;4679.9;;;;
16035999.999999998;;533.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.4135636957127386, 0.5864363042872613];[0.6404833285815529, 0.3595166714184471];28758.0;7108.1;;;;
19152000.0;;533.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.514049448681251, 0.485950551318749];[0.6039017155877073, 0.39609828441229267];22860.0;13975.0;;;;
8212000.0;;543.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.10517411097585248, 0.8948258890241475];[0.31483786009456033, 0.6851621399054397];39172.0;2510.8;;;;
11084000.000000002;;543.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.20914583996711858, 0.7908541600328814];[0.473418845122534, 0.5265811548774659];35665.0;3727.9;;;;
17625000.0;;543.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.4135636957127386, 0.5864363042872613];[0.5913406547730699, 0.40865934522693015];26690.0;8947.3;;;;
