p (Pa);rho (mol/m3);T (K);z (molar);type;BibTeX;weight;x (molar);y (molar);rho' (mol/m3);rho'' (mol/m3);rho' (guess,mol/m3);rho'' (guess,mol/m3);error_TillnerRoth [%];rho (kg/m3)
20262000.0;;543.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.514049448681251, 0.485950551318749];[0.5313090269561639, 0.4686909730438361];19497.0;17722.0;;;;
9389100.0;;553.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.10517411097585248, 0.8948258890241475];[0.29606960964141527, 0.7039303903585847];38068.0;2941.5;;;;
12493000.0;;553.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.20914583996711858, 0.7908541600328814];[0.44594317702026653, 0.5540568229797335];34327.0;4382.0;;;;
15873000.0;;553.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.3119356887697274, 0.6880643112302727];[0.5251138110252228, 0.4748861889747772];29959.0;6658.8;;;;
19242000.0;;553.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.4135636957127386, 0.5864363042872613];[0.5251836684583215, 0.47481633154167846];24173.0;12271.0;;;;
10686000.0;;563.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.10517411097585248, 0.8948258890241475];[0.2772621349385445, 0.7227378650614555];36866.0;3452.5;;;;
14022000.0;;563.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.20914583996711858, 0.7908541600328814];[0.41726149450736194, 0.5827385054926381];32831.0;5190.7;;;;
17552000.0;;563.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.3119356887697274, 0.6880643112302727];[0.48276918825558346, 0.5172308117444165];27923.0;8247.6;;;;
20634000.0;;563.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.4135636957127386, 0.5864363042872613];[0.44472476910371145, 0.5552752308962885];20814.0;17214.0;;;;
12110999.999999998;;573.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.10517411097585248, 0.8948258890241475];[0.2583022157781393, 0.7416977842218607];35545.0;4067.4;;;;
15672000.0;;573.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.20914583996711858, 0.7908541600328814];[0.3867747186651402, 0.6132252813348598];31125.0;6225.3;;;;
19278000.0;;573.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.3119356887697274, 0.6880643112302727];[0.4305044331710663, 0.5694955668289337];25405.0;10799.0;;;;
13670000.0;;583.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.10517411097585248, 0.8948258890241475];[0.23897263884686815, 0.7610273611531319];34069.0;4822.2;;;;
17435000.0;;583.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.20914583996711858, 0.7908541600328814];[0.3533356398324272, 0.6466643601675728];29116.0;7622.4;;;;
20854000.0;;583.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.3119356887697274, 0.6880643112302727];[0.3603831447619825, 0.6396168552380175];21902.0;15331.0;;;;
15369000.000000002;;593.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.10517411097585248, 0.8948258890241475];[0.2189613638459891, 0.7810386361540109];32383.0;5776.0;;;;
19279000.0;;593.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.20914583996711858, 0.7908541600328814];[0.31435763586566207, 0.6856423641343379];26594.0;9693.4;;;;
17210000.0;;603.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.10517411097585248, 0.8948258890241475];[0.1976843637095886, 0.8023156362904114];30386.0;7038.7;;;;
21061000.0;;603.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.20914583996711858, 0.7908541600328814];[0.2631024546056419, 0.736897545394358];22931.0;13310.0;;;;
19184000.0;;613.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.10517411097585248, 0.8948258890241475];[0.17378378302560823, 0.8262162169743917];27838.0;8856.5;;;;
5259700.0;;533.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.0238502675825206, 0.9761497324174794];[0.10517411097585248, 0.8948258890241475];42754.0;1497.0;;;;
5975200.0;;533.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.05477142518760972, 0.9452285748123903];[0.20914583996711858, 0.7908541600328814];41778.0;1734.2;;;;
6910000.0;;533.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.095093259187086, 0.904906740812914];[0.3119356887697274, 0.6880643112302727];40512.0;2058.9;;;;
8195300.0;;533.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.14820696375104736, 0.8517930362489526];[0.4135636957127386, 0.5864363042872613];38844.0;2535.6;;;;
10120000.0;;533.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.2210677289968289, 0.7789322710031711];[0.514049448681251, 0.485950551318749];36484.0;3330.7;;;;
6180900.0;;543.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.025752353856291488, 0.9742476461437085];[0.10517411097585248, 0.8948258890241475];41769.0;1781.9;;;;
7040500.0;;543.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.05943257575853565, 0.9405674242414643];[0.20914583996711858, 0.7908541600328814];40668.0;2079.5;;;;
8174400.0;;543.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.10372675443699393, 0.896273245563006];[0.3119356887697274, 0.6880643112302727];39219.0;2496.5;;;;
9764000.0;;543.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.1630151860316282, 0.8369848139683718];[0.4135636957127386, 0.5864363042872613];37255.0;3135.8;;;;
12269000.0;;543.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.24843674844579455, 0.7515632515542054];[0.514049448681251, 0.485950551318749];34237.0;4322.3;;;;
7224000.0;;553.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.027891332100838346, 0.9721086678991616];[0.10517411097585248, 0.8948258890241475];40710.0;2118.9;;;;
8255100.000000001;;553.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.06473418122568014, 0.9352658187743199];[0.20914583996711858, 0.7908541600328814];39455.0;2496.1;;;;
9633600.0;;553.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.113765660795984, 0.886234339204016];[0.3119356887697274, 0.6880643112302727];37770.0;3042.2;;;;
11625000.0;;553.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.18120116400432576, 0.8187988359956743];[0.4135636957127386, 0.5864363042872613];35374.0;3938.6;;;;
8401300.0;;563.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.030320806197785193, 0.9696791938022148];[0.10517411097585248, 0.8948258890241475];39563.0;2520.7;;;;
9638300.0;;563.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.07085566310635182, 0.9291443368936482];[0.20914583996711858, 0.7908541600328814];38112.0;3005.9;;;;
11325000.0;;563.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.1257718574508647, 0.8742281425491353];[0.3119356887697274, 0.6880643112302727];36105.0;3743.4;;;;
13897000.0;;563.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.20540280316260628, 0.7945971968373937];[0.4135636957127386, 0.5864363042872613];32988.0;5113.3;;;;
9727000.0;;573.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.03311854018670701, 0.966881459813293];[0.10517411097585248, 0.8948258890241475];38306.0;3004.9;;;;
11215000.0;;573.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.07808064817721216, 0.9219193518227878];[0.20914583996711858, 0.7908541600328814];36599.0;3643.5;;;;
13307000.0;;573.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.14084585825389415, 0.8591541417461058];[0.3119356887697274, 0.6880643112302727];34112.0;4692.6;;;;
11218000.0;;583.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.036396933119281195, 0.9636030668807188];[0.10517411097585248, 0.8948258890241475];36908.0;3598.5;;;;
13020000.0;;583.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.08689793739637097, 0.913102062603629];[0.20914583996711858, 0.7908541600328814];34844.0;4469.0;;;;
15703000.0;;583.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.16168509853790908, 0.838314901462091];[0.3119356887697274, 0.6880643112302727];31525.0;6122.8;;;;
12895000.0;;593.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.04034293165189693, 0.959657068348103];[0.10517411097585248, 0.8948258890241475];35322.0;4344.4;;;;
15107999.999999998;;593.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.09829502236688667, 0.9017049776331133];[0.20914583996711858, 0.7908541600328814];32709.0;5604.3;;;;
14788000.0;;603.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.04528618928577327, 0.9547138107142268];[0.10517411097585248, 0.8948258890241475];33463.0;5320.0;;;;
17601000.0;;603.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.1149878858279138, 0.8850121141720861];[0.20914583996711858, 0.7908541600328814];29835.0;7384.6;;;;
16942999.999999996;;613.15;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;5.0;[0.05194245691385141, 0.9480575430861486];[0.10517411097585248, 0.8948258890241475];31150.0;6690.3;;;;
1658.0;;260.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.1, 0.9];[0.88386, 0.11614000000000002];54129.0;0.76729;;;;
5227.9;;260.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.2, 0.8];[0.9702, 0.02980000000000005];52829.0;2.4208;;;;
13100.0;;260.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.3, 0.7];[0.99125, 0.008750000000000036];51701.0;6.0748;;;;
29866.0;;260.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.4, 0.6];[0.99752, 0.0024800000000000377];50529.0;13.891;;;;
60972.0;;260.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.5, 0.5];[0.9993, 0.0007000000000000339];49159.0;28.524;;;;
106380.0;;260.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.6, 0.4];[0.99979, 0.00021000000000004349];47488.0;50.202;;;;
155900.0;;260.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.7, 0.30000000000000004];[0.99992, 7.999999999996898e-05];45481.0;74.291;;;;
197650.0;;260.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.8, 0.19999999999999996];[0.99997, 2.999999999997449e-05];43195.0;94.99;;;;
229030.0;;260.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.9, 0.09999999999999998];[0.99999, 9.99999999995449e-06];40814.0;110.8;;;;
5578.8;;280.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.1, 0.9];[0.8445, 0.15549999999999997];53972.0;2.3989;;;;
15763.0;;280.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.2, 0.8];[0.95476, 0.04523999999999995];52483.0;6.7868;;;;
37140.0;;280.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.3, 0.7];[0.98555, 0.014449999999999963];51133.0;16.035;;;;
79218.0;;280.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.4, 0.6];[0.99541, 0.004589999999999983];49747.0;34.397;;;;
150250.0;;280.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.5, 0.5];[0.99851, 0.0014899999999999913];48191.0;65.887;;;;
245900.0;;280.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.6, 0.4];[0.99947, 0.0005300000000000304];46372.0;109.34;;;;
345580.0;;280.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.7, 0.30000000000000004];[0.99978, 0.00021999999999999797];44249.0;156.0;;;;
429150.0;;280.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.8, 0.19999999999999996];[0.9999, 9.999999999998899e-05];41854.0;196.33;;;;
493820.0;;280.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.9, 0.09999999999999998];[0.99996, 4.0000000000040004e-05];39359.0;228.36;;;;
15852.0;;300.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.1, 0.9];[0.80308, 0.19691999999999998];53583.0;6.3707;;;;
40710.0;;300.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.2, 0.8];[0.93599, 0.06401000000000001];51941.0;16.399;;;;
89844.0;;300.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.3, 0.7];[0.97761, 0.02239000000000002];50421.0;36.369;;;;
179590.0;;300.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.4, 0.6];[0.99205, 0.007950000000000013];48868.0;73.375;;;;
319890.0;;300.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.5, 0.5];[0.99704, 0.0029599999999999627];47161.0;132.69;;;;
497830.0;;300.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.6, 0.4];[0.99878, 0.0012199999999999989];45212.0;210.75;;;;
677530.0;;300.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.7, 0.30000000000000004];[0.99943, 0.0005699999999999594];42966.0;293.2;;;;
828370.0;;300.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.8, 0.19999999999999996];[0.99971, 0.00029000000000001247];40442.0;365.63;;;;
949130.0;;300.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.9, 0.09999999999999998];[0.99987, 0.00012999999999996348];37812.0;426.02;;;;
39204.0;;320.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.1, 0.9];[0.76053, 0.23946999999999996];53031.0;14.808;;;;
92343.0;;320.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.2, 0.8];[0.91379, 0.08621000000000001];51262.0;35.015;;;;
191050.0;;320.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.3, 0.7];[0.96692, 0.03308];49603.0;73.0;;;;
359670.0;;320.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.4, 0.6];[0.98694, 0.01305999999999996];47912.0;139.33;;;;
607420.0;;320.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.5, 0.5];[0.99452, 0.00548000000000004];46075.0;240.42;;;;
907810.0;;320.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.6, 0.4];[0.99746, 0.0025399999999999867];43999.0;369.56;;;;
1204900.0;;320.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.7, 0.30000000000000004];[0.99869, 0.0013100000000000334];41617.0;505.62;;;;
1456400.0;;320.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.8, 0.19999999999999996];[0.99928, 0.0007200000000000539];38940.0;628.62;;;;
1666100.0;;320.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.9, 0.09999999999999998];[0.99965, 0.00034999999999996145];36153.0;737.64;;;;
86429.0;;340.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.1, 0.9];[0.71741, 0.28259];52353.0;30.856;;;;
188100.0;;340.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.2, 0.8];[0.88806, 0.11194000000000004];50473.0;67.549;;;;
365960.0;;340.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.3, 0.7];[0.95299, 0.047009999999999996];48696.0;132.88;;;;
652480.0;;340.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.4, 0.6];[0.97949, 0.020510000000000028];46885.0;241.45;;;;
1052900.0;;340.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.5, 0.5];[0.99042, 0.009580000000000033];44925.0;400.94;;;;
1522000.0;;340.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.6, 0.4];[0.99507, 0.00492999999999999];42717.0;601.42;;;;
1980200.0;;340.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.7, 0.30000000000000004];[0.9972, 0.0028000000000000247];40179.0;814.7;;;;
2375000.0;;340.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.8, 0.19999999999999996];[0.99833, 0.0016699999999999493];37324.0;1016.0;;;;
2719600.0;;340.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.9, 0.09999999999999998];[0.99913, 0.0008700000000000374];34350.0;1208.8;;;;
173150.0;;360.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.1, 0.9];[0.67409, 0.32591000000000003];51569.0;58.765;;;;
350580.0;;360.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.2, 0.8];[0.85878, 0.14122];49589.0;119.97;;;;
643960.0;;360.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.3, 0.7];[0.93535, 0.06464999999999999];47706.0;223.69;;;;
1093000.0;;360.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.4, 0.6];[0.96906, 0.030939999999999968];45783.0;389.18;;;;
1695300.0;;360.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.5, 0.5];[0.98408, 0.015920000000000045];43701.0;625.99;;;;
2382700.0;;360.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.6, 0.4];[0.99099, 0.009009999999999962];41347.0;921.9;;;;
3050400.0;;360.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.7, 0.30000000000000004];[0.99441, 0.005589999999999984];38628.0;1243.3;;;;
3641200.0;;360.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.8, 0.19999999999999996];[0.99642, 0.0035800000000000276];35564.0;1565.5;;;;
4183800.0;;360.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.9, 0.09999999999999998];[0.99799, 0.0020099999999999563];32353.0;1905.0;;;;
320210.0;;380.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.1, 0.9];[0.63086, 0.36914];50689.0;103.94;;;;
607030.0;;380.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.2, 0.8];[0.82603, 0.17396999999999996];48616.0;199.26;;;;
1057200.0;;380.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.3, 0.7];[0.91356, 0.08643999999999996];46632.0;353.77;;;;
1716000.0;;380.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.4, 0.6];[0.95492, 0.04508000000000001];44598.0;592.18;;;;
2569400.0;;380.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.5, 0.5];[0.97467, 0.025329999999999964];42386.0;927.09;;;;
3523700.0;;380.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.6, 0.4];[0.98436, 0.015639999999999987];39866.0;1346.3;;;;
4451600.0;;380.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.7, 0.30000000000000004];[0.98948, 0.010519999999999974];36931.0;1816.0;;;;
5302000.0;;380.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.8, 0.19999999999999996];[0.99273, 0.007269999999999999];33619.0;2324.7;;;;
6125600.0;;380.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.9, 0.09999999999999998];[0.99553, 0.004469999999999974];30078.0;2929.2;;;;
553680.0;;400.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.1, 0.9];[0.58795, 0.41205];49716.0;172.98;;;;
988760.0;;400.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.2, 0.8];[0.78997, 0.21003000000000005];47553.0;313.47;;;;
1639600.0;;400.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.3, 0.7];[0.88727, 0.11273];45469.0;532.37;;;;
2554500.0;;400.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.4, 0.6];[0.93632, 0.06367999999999996];43318.0;860.85;;;;
3704100.0;;400.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.5, 0.5];[0.96119, 0.03881000000000001];40958.0;1316.3;;;;
4968100.0;;400.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.6, 0.4];[0.97404, 0.025959999999999983];38240.0;1890.5;;;;
6205400.0;;400.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.7, 0.30000000000000004];[0.98117, 0.018830000000000013];35044.0;2560.4;;;;
7387300.0;;400.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.8, 0.19999999999999996];[0.98589, 0.014109999999999956];31434.0;3358.6;;;;
8588700.0;;400.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.9, 0.09999999999999998];[0.99017, 0.009830000000000005];27375.0;4460.3;;;;
904590.0;;420.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.1, 0.9];[0.54557, 0.45443];48650.0;273.85;;;;
1530500.0;;420.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.2, 0.8];[0.75087, 0.24912999999999996];46395.0;472.11;;;;
2425900.0;;420.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.3, 0.7];[0.85624, 0.14376];44206.0;770.36;;;;
3638900.0;;420.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.4, 0.6];[0.91251, 0.08748999999999996];41924.0;1207.6;;;;
5121200.0;;420.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.5, 0.5];[0.9425, 0.057499999999999996];39388.0;1808.3;;;;
6726700.0;;420.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.6, 0.4];[0.95858, 0.04142000000000001];36424.0;2574.1;;;;
8316600.0;;420.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.7, 0.30000000000000004];[0.96764, 0.032360000000000055];32909.0;3514.7;;;;
11537000.0;;420.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.9, 0.09999999999999998];[0.9775, 0.022499999999999964];23868.0;6884.4;;;;
1408500.0;;440.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.1, 0.9];[0.50392, 0.49607999999999997];47488.0;416.24;;;;
2269700.0;;440.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.2, 0.8];[0.70908, 0.29091999999999996];45134.0;686.84;;;;
3451400.0;;440.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.3, 0.7];[0.82033, 0.17967];42825.0;1081.6;;;;
4997100.0;;440.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.4, 0.6];[0.88274, 0.11726000000000003];40387.0;1649.0;;;;
6835400.0;;440.0;;PTXYDD;TillnerRoth-JPCRD-1998-EOS-fit;3.0;[0.5, 0.5];[0.91729, 0.08270999999999995];37631.0;2424.4;;;;
